id,slug,name,cuisine,base,ingredients,diet_class,jain_ok,allergens,seasons,instructions_en,image_path,is_active,created_at,kind
0dbe11cb-ec60-4da7-9886-7a877f0f119d,aloo-curry,Aloo Curry,Goan,Aloo,"4 medium Potatoes, chopped
2 medium Onions, finely chopped
1 tbsp Ginger-Garlic Paste
2 medium Tomatoes, pureed or chopped
2-3 Green Chilies, slit
1 tsp Cumin Seeds
1/2 tsp Turmeric Powder
1 tsp Red Chili Powder
1 tsp Garam Masala
2 tbsp Oil or Ghee
Salt to taste
2 tbsp Fresh Coriander Leaves, chopped",Vegetarian,False,{},{All},"1. Preparation: Thoroughly wash and prepare Aloo. If it's meat or paneer, marinate it with a little turmeric, red chili powder, salt, and lemon juice for 20 minutes. Finely chop 2 onions and puree 2 tomatoes.
2. Whole Spices (Tadka): Heat 3 tbsp of oil or ghee in a heavy-bottomed pan or pressure cooker over medium heat. Add cumin seeds, 1 bay leaf, 2-3 cloves, and a small cinnamon stick. Let them sizzle for 30 seconds to release their aroma.
3. Onion Base: Add the finely chopped onions and a pinch of salt. Sauté patiently for 8-10 minutes until they turn a deep golden brown.
4. Aromatics & Tomatoes: Add 1 tbsp of ginger-garlic paste and green chilies. Sauté for 1 minute until the raw smell goes away. Pour in the tomato puree and cook until the mixture thickens and oil starts separating from the edges (about 5-7 minutes).
5. Spice Powders: Lower the heat and add 1/2 tsp turmeric, 1 tsp Kashmiri red chili powder, 1 tsp coriander powder, and 1/2 tsp cumin powder. Stir constantly for 30 seconds so the spices bloom without burning.
6. Adding Base: Add the prepared Aloo to the masala. Sauté on medium-high heat for 4-5 minutes to coat everything well and seal in the flavors.
7. Simmering: Pour in 1 to 1.5 cups of warm water (adjust for desired gravy consistency). Bring to a boil, then reduce heat to low, cover with a lid, and simmer. Cook until the Aloo is completely tender (15 mins for veg/paneer, 30-45 mins for meat).
8. Final Garnish: Crush 1 tsp of Kasuri Methi (dried fenugreek leaves) between your palms and sprinkle it over the curry along with 1/2 tsp of garam masala. Garnish with freshly chopped cilantro and serve hot.",,True,2026-08-08T05:39:03.811342+00:00,Main Course
495dea2f-8f4e-400f-b4b7-659db8e7c8c9,aloo-masala,Aloo Masala,North Indian,Aloo,"4 medium Potatoes, chopped
2 medium Onions, finely chopped
1 tbsp Ginger-Garlic Paste
2 medium Tomatoes, pureed or chopped
2-3 Green Chilies, slit
1 tsp Cumin Seeds
1/2 tsp Turmeric Powder
1 tsp Red Chili Powder
1 tsp Garam Masala
2 tbsp Oil or Ghee
Salt to taste
2 tbsp Fresh Coriander Leaves, chopped",Vegan,False,{},{All},"1. Preparation: Thoroughly wash and prepare Aloo. If it's meat or paneer, marinate it with a little turmeric, red chili powder, salt, and lemon juice for 20 minutes. Finely chop 2 onions and puree 2 tomatoes.
2. Whole Spices (Tadka): Heat 3 tbsp of oil or ghee in a heavy-bottomed pan or pressure cooker over medium heat. Add cumin seeds, 1 bay leaf, 2-3 cloves, and a small cinnamon stick. Let them sizzle for 30 seconds to release their aroma.
3. Onion Base: Add the finely chopped onions and a pinch of salt. Sauté patiently for 8-10 minutes until they turn a deep golden brown.
4. Aromatics & Tomatoes: Add 1 tbsp of ginger-garlic paste and green chilies. Sauté for 1 minute until the raw smell goes away. Pour in the tomato puree and cook until the mixture thickens and oil starts separating from the edges (about 5-7 minutes).
5. Spice Powders: Lower the heat and add 1/2 tsp turmeric, 1 tsp Kashmiri red chili powder, 1 tsp coriander powder, and 1/2 tsp cumin powder. Stir constantly for 30 seconds so the spices bloom without burning.
6. Adding Base: Add the prepared Aloo to the masala. Sauté on medium-high heat for 4-5 minutes to coat everything well and seal in the flavors.
7. Simmering: Pour in 1 to 1.5 cups of warm water (adjust for desired gravy consistency). Bring to a boil, then reduce heat to low, cover with a lid, and simmer. Cook until the Aloo is completely tender (15 mins for veg/paneer, 30-45 mins for meat).
8. Final Garnish: Crush 1 tsp of Kasuri Methi (dried fenugreek leaves) between your palms and sprinkle it over the curry along with 1/2 tsp of garam masala. Garnish with freshly chopped cilantro and serve hot.",,True,2026-08-08T05:39:03.811610+00:00,Main Course
6a807c87-cc5b-4fb5-8849-004b08728480,aloo-fry,Aloo Fry,Gujarati,Aloo,"4 medium Potatoes, chopped
2 medium Onions, finely chopped
1 tbsp Ginger-Garlic Paste
2 medium Tomatoes, pureed or chopped
2-3 Green Chilies, slit
1 tsp Cumin Seeds
1/2 tsp Turmeric Powder
1 tsp Red Chili Powder
1 tsp Garam Masala
2 tbsp Oil or Ghee
Salt to taste
2 tbsp Fresh Coriander Leaves, chopped",Vegetarian,False,{},{All},"1. Ingredient Prep: Wash, peel, and chop Aloo into even, bite-sized pieces. Finely chop onions, tomatoes, and slit green chilies.
2. Tempering (Tadka): Heat 2-3 tbsp of oil (mustard oil preferred for vegetables) in a wide pan. Add mustard seeds, cumin seeds, a pinch of hing (asafoetida), and curry leaves. Let them splutter.
3. Aromatics: Add chopped onions and sauté until translucent. Add ginger-garlic paste and sauté for another minute.
4. Main Ingredient Addition: Add the chopped Aloo along with a pinch of turmeric and salt. Mix well to coat with the oil and spices.
5. Searing/Cooking: Cook uncovered on medium-high heat for the first 5 minutes to get a slight sear. Then, reduce the heat, cover with a lid, and cook until Aloo is 80% tender. Stir occasionally to prevent sticking.
6. Spicing: Remove the lid and add dry spice powders (coriander powder, cumin powder, red chili powder, amchur/dry mango powder). Mix thoroughly.
7. Finishing: Sauté on medium heat for another 3-4 minutes to crisp up the edges. Finish with a sprinkle of garam masala and fresh coriander leaves. Serve hot as a side dish.",,True,2026-08-08T05:39:03.811642+00:00,Main Course
46e2a443-55aa-4e27-b6b1-e89242358815,aloo-roast,Aloo Roast,Punjabi,Aloo,"4 medium Potatoes, chopped
2 medium Onions, finely chopped
1 tbsp Ginger-Garlic Paste
2 medium Tomatoes, pureed or chopped
2-3 Green Chilies, slit
1 tsp Cumin Seeds
1/2 tsp Turmeric Powder
1 tsp Red Chili Powder
1 tsp Garam Masala
2 tbsp Oil or Ghee
Salt to taste
2 tbsp Fresh Coriander Leaves, chopped",Vegetarian,False,{},{All},"1. Ingredient Prep: Wash, peel, and chop Aloo into even, bite-sized pieces. Finely chop onions, tomatoes, and slit green chilies.
2. Tempering (Tadka): Heat 2-3 tbsp of oil (mustard oil preferred for vegetables) in a wide pan. Add mustard seeds, cumin seeds, a pinch of hing (asafoetida), and curry leaves. Let them splutter.
3. Aromatics: Add chopped onions and sauté until translucent. Add ginger-garlic paste and sauté for another minute.
4. Main Ingredient Addition: Add the chopped Aloo along with a pinch of turmeric and salt. Mix well to coat with the oil and spices.
5. Searing/Cooking: Cook uncovered on medium-high heat for the first 5 minutes to get a slight sear. Then, reduce the heat, cover with a lid, and cook until Aloo is 80% tender. Stir occasionally to prevent sticking.
6. Spicing: Remove the lid and add dry spice powders (coriander powder, cumin powder, red chili powder, amchur/dry mango powder). Mix thoroughly.
7. Finishing: Sauté on medium heat for another 3-4 minutes to crisp up the edges. Finish with a sprinkle of garam masala and fresh coriander leaves. Serve hot as a side dish.",,True,2026-08-08T05:39:03.811665+00:00,Main Course
f8fd2fa1-691f-4675-a603-7e251f140c26,aloo-tikka,Aloo Tikka,Goan,Aloo,"4 medium Potatoes, chopped
2 medium Onions, finely chopped
1 tbsp Ginger-Garlic Paste
2 medium Tomatoes, pureed or chopped
2-3 Green Chilies, slit
1 tsp Cumin Seeds
1/2 tsp Turmeric Powder
1 tsp Red Chili Powder
1 tsp Garam Masala
2 tbsp Oil or Ghee
Salt to taste
2 tbsp Fresh Coriander Leaves, chopped",Vegetarian,False,{},{All},"1. Ingredient Prep: Wash, peel, and chop Aloo into even, bite-sized pieces. Finely chop onions, tomatoes, and slit green chilies.
2. Tempering (Tadka): Heat 2-3 tbsp of oil (mustard oil preferred for vegetables) in a wide pan. Add mustard seeds, cumin seeds, a pinch of hing (asafoetida), and curry leaves. Let them splutter.
3. Aromatics: Add chopped onions and sauté until translucent. Add ginger-garlic paste and sauté for another minute.
4. Main Ingredient Addition: Add the chopped Aloo along with a pinch of turmeric and salt. Mix well to coat with the oil and spices.
5. Searing/Cooking: Cook uncovered on medium-high heat for the first 5 minutes to get a slight sear. Then, reduce the heat, cover with a lid, and cook until Aloo is 80% tender. Stir occasionally to prevent sticking.
6. Spicing: Remove the lid and add dry spice powders (coriander powder, cumin powder, red chili powder, amchur/dry mango powder). Mix thoroughly.
7. Finishing: Sauté on medium heat for another 3-4 minutes to crisp up the edges. Finish with a sprinkle of garam masala and fresh coriander leaves. Serve hot as a side dish.",,True,2026-08-08T05:39:03.811685+00:00,Main Course
1897c25a-9c7a-4e25-813f-101181980d4a,aloo-korma,Aloo Korma,Andhra,Aloo,"4 medium Potatoes, chopped
2 medium Onions, finely chopped
1 tbsp Ginger-Garlic Paste
2 medium Tomatoes, pureed or chopped
2-3 Green Chilies, slit
1 tsp Cumin Seeds
1/2 tsp Turmeric Powder
1 tsp Red Chili Powder
1 tsp Garam Masala
2 tbsp Oil or Ghee
Salt to taste
2 tbsp Fresh Coriander Leaves, chopped",Vegan,False,{Nuts},{All},"1. Preparation: Thoroughly wash and prepare Aloo. If it's meat or paneer, marinate it with a little turmeric, red chili powder, salt, and lemon juice for 20 minutes. Finely chop 2 onions and puree 2 tomatoes.
2. Whole Spices (Tadka): Heat 3 tbsp of oil or ghee in a heavy-bottomed pan or pressure cooker over medium heat. Add cumin seeds, 1 bay leaf, 2-3 cloves, and a small cinnamon stick. Let them sizzle for 30 seconds to release their aroma.
3. Onion Base: Add the finely chopped onions and a pinch of salt. Sauté patiently for 8-10 minutes until they turn a deep golden brown.
4. Aromatics & Tomatoes: Add 1 tbsp of ginger-garlic paste and green chilies. Sauté for 1 minute until the raw smell goes away. Pour in the tomato puree and cook until the mixture thickens and oil starts separating from the edges (about 5-7 minutes).
5. Spice Powders: Lower the heat and add 1/2 tsp turmeric, 1 tsp Kashmiri red chili powder, 1 tsp coriander powder, and 1/2 tsp cumin powder. Stir constantly for 30 seconds so the spices bloom without burning.
6. Adding Base: Add the prepared Aloo to the masala. Sauté on medium-high heat for 4-5 minutes to coat everything well and seal in the flavors.
7. Simmering: Pour in 1 to 1.5 cups of warm water (adjust for desired gravy consistency). Bring to a boil, then reduce heat to low, cover with a lid, and simmer. Cook until the Aloo is completely tender (15 mins for veg/paneer, 30-45 mins for meat).
8. Final Garnish: Crush 1 tsp of Kasuri Methi (dried fenugreek leaves) between your palms and sprinkle it over the curry along with 1/2 tsp of garam masala. Garnish with freshly chopped cilantro and serve hot.",,True,2026-08-08T05:39:03.811719+00:00,Main Course
031a3bfb-e316-4995-8fb8-359c99b29f71,aloo-makhani,Aloo Makhani,North Indian,Aloo,"4 medium Potatoes, chopped
2 medium Onions, finely chopped
1 tbsp Ginger-Garlic Paste
2 medium Tomatoes, pureed or chopped
2-3 Green Chilies, slit
1 tsp Cumin Seeds
1/2 tsp Turmeric Powder
1 tsp Red Chili Powder
1 tsp Garam Masala
3 tbsp Butter
1/4 cup Fresh Cream
1 tsp Kasuri Methi
Salt to taste
2 tbsp Fresh Coriander Leaves, chopped",Vegetarian,False,{Dairy},{All},"1. Preparation: Thoroughly wash and prepare Aloo. If it's meat or paneer, marinate it with a little turmeric, red chili powder, salt, and lemon juice for 20 minutes. Finely chop 2 onions and puree 2 tomatoes.
2. Whole Spices (Tadka): Heat 3 tbsp of oil or ghee in a heavy-bottomed pan or pressure cooker over medium heat. Add cumin seeds, 1 bay leaf, 2-3 cloves, and a small cinnamon stick. Let them sizzle for 30 seconds to release their aroma.
3. Onion Base: Add the finely chopped onions and a pinch of salt. Sauté patiently for 8-10 minutes until they turn a deep golden brown.
4. Aromatics & Tomatoes: Add 1 tbsp of ginger-garlic paste and green chilies. Sauté for 1 minute until the raw smell goes away. Pour in the tomato puree and cook until the mixture thickens and oil starts separating from the edges (about 5-7 minutes).
5. Spice Powders: Lower the heat and add 1/2 tsp turmeric, 1 tsp Kashmiri red chili powder, 1 tsp coriander powder, and 1/2 tsp cumin powder. Stir constantly for 30 seconds so the spices bloom without burning.
6. Adding Base: Add the prepared Aloo to the masala. Sauté on medium-high heat for 4-5 minutes to coat everything well and seal in the flavors.
7. Simmering: Pour in 1 to 1.5 cups of warm water (adjust for desired gravy consistency). Bring to a boil, then reduce heat to low, cover with a lid, and simmer. Cook until the Aloo is completely tender (15 mins for veg/paneer, 30-45 mins for meat).
8. Final Garnish: Crush 1 tsp of Kasuri Methi (dried fenugreek leaves) between your palms and sprinkle it over the curry along with 1/2 tsp of garam masala. Garnish with freshly chopped cilantro and serve hot.",,True,2026-08-08T05:39:03.811755+00:00,Main Course
cc9893c3-dda0-44df-8272-f372a577ffa8,aloo-bhurji,Aloo Bhurji,South Indian,Aloo,"4 medium Potatoes, chopped
2 medium Onions, finely chopped
1 tbsp Ginger-Garlic Paste
2 medium Tomatoes, pureed or chopped
2-3 Green Chilies, slit
1 tsp Cumin Seeds
1/2 tsp Turmeric Powder
1 tsp Red Chili Powder
1 tsp Garam Masala
2 tbsp Oil or Ghee
Salt to taste
2 tbsp Fresh Coriander Leaves, chopped",Vegetarian,False,{},{All},"1. Ingredient Prep: Wash, peel, and chop Aloo into even, bite-sized pieces. Finely chop onions, tomatoes, and slit green chilies.
2. Tempering (Tadka): Heat 2-3 tbsp of oil (mustard oil preferred for vegetables) in a wide pan. Add mustard seeds, cumin seeds, a pinch of hing (asafoetida), and curry leaves. Let them splutter.
3. Aromatics: Add chopped onions and sauté until translucent. Add ginger-garlic paste and sauté for another minute.
4. Main Ingredient Addition: Add the chopped Aloo along with a pinch of turmeric and salt. Mix well to coat with the oil and spices.
5. Searing/Cooking: Cook uncovered on medium-high heat for the first 5 minutes to get a slight sear. Then, reduce the heat, cover with a lid, and cook until Aloo is 80% tender. Stir occasionally to prevent sticking.
6. Spicing: Remove the lid and add dry spice powders (coriander powder, cumin powder, red chili powder, amchur/dry mango powder). Mix thoroughly.
7. Finishing: Sauté on medium heat for another 3-4 minutes to crisp up the edges. Finish with a sprinkle of garam masala and fresh coriander leaves. Serve hot as a side dish.",,True,2026-08-08T05:39:03.811783+00:00,Main Course
b7730134-f1ab-488d-8a4f-a576d690ff6e,aloo-kofta,Aloo Kofta,Gujarati,Aloo,"4 medium Potatoes, chopped
2 medium Onions, finely chopped
1 tbsp Ginger-Garlic Paste
2 medium Tomatoes, pureed or chopped
2-3 Green Chilies, slit
1 tsp Cumin Seeds
1/2 tsp Turmeric Powder
1 tsp Red Chili Powder
1 tsp Garam Masala
2 tbsp Oil or Ghee
Salt to taste
2 tbsp Fresh Coriander Leaves, chopped",Vegetarian,False,{},{All},"1. Preparation: Thoroughly wash and prepare Aloo. If it's meat or paneer, marinate it with a little turmeric, red chili powder, salt, and lemon juice for 20 minutes. Finely chop 2 onions and puree 2 tomatoes.
2. Whole Spices (Tadka): Heat 3 tbsp of oil or ghee in a heavy-bottomed pan or pressure cooker over medium heat. Add cumin seeds, 1 bay leaf, 2-3 cloves, and a small cinnamon stick. Let them sizzle for 30 seconds to release their aroma.
3. Onion Base: Add the finely chopped onions and a pinch of salt. Sauté patiently for 8-10 minutes until they turn a deep golden brown.
4. Aromatics & Tomatoes: Add 1 tbsp of ginger-garlic paste and green chilies. Sauté for 1 minute until the raw smell goes away. Pour in the tomato puree and cook until the mixture thickens and oil starts separating from the edges (about 5-7 minutes).
5. Spice Powders: Lower the heat and add 1/2 tsp turmeric, 1 tsp Kashmiri red chili powder, 1 tsp coriander powder, and 1/2 tsp cumin powder. Stir constantly for 30 seconds so the spices bloom without burning.
6. Adding Base: Add the prepared Aloo to the masala. Sauté on medium-high heat for 4-5 minutes to coat everything well and seal in the flavors.
7. Simmering: Pour in 1 to 1.5 cups of warm water (adjust for desired gravy consistency). Bring to a boil, then reduce heat to low, cover with a lid, and simmer. Cook until the Aloo is completely tender (15 mins for veg/paneer, 30-45 mins for meat).
8. Final Garnish: Crush 1 tsp of Kasuri Methi (dried fenugreek leaves) between your palms and sprinkle it over the curry along with 1/2 tsp of garam masala. Garnish with freshly chopped cilantro and serve hot.",,True,2026-08-08T05:39:03.811811+00:00,Main Course
6ba96fa1-2a95-4ea3-b26d-2482d4de04ff,aloo-saag,Aloo Saag,Tamil,Aloo,"4 medium Potatoes, chopped
2 medium Onions, finely chopped
1 tbsp Ginger-Garlic Paste
2 medium Tomatoes, pureed or chopped
2-3 Green Chilies, slit
1 tsp Cumin Seeds
1/2 tsp Turmeric Powder
1 tsp Red Chili Powder
1 tsp Garam Masala
2 tbsp Oil or Ghee
Salt to taste
2 tbsp Fresh Coriander Leaves, chopped",Vegetarian,False,{},{All},"1. Preparation: Thoroughly wash and prepare Aloo. If it's meat or paneer, marinate it with a little turmeric, red chili powder, salt, and lemon juice for 20 minutes. Finely chop 2 onions and puree 2 tomatoes.
2. Whole Spices (Tadka): Heat 3 tbsp of oil or ghee in a heavy-bottomed pan or pressure cooker over medium heat. Add cumin seeds, 1 bay leaf, 2-3 cloves, and a small cinnamon stick. Let them sizzle for 30 seconds to release their aroma.
3. Onion Base: Add the finely chopped onions and a pinch of salt. Sauté patiently for 8-10 minutes until they turn a deep golden brown.
4. Aromatics & Tomatoes: Add 1 tbsp of ginger-garlic paste and green chilies. Sauté for 1 minute until the raw smell goes away. Pour in the tomato puree and cook until the mixture thickens and oil starts separating from the edges (about 5-7 minutes).
5. Spice Powders: Lower the heat and add 1/2 tsp turmeric, 1 tsp Kashmiri red chili powder, 1 tsp coriander powder, and 1/2 tsp cumin powder. Stir constantly for 30 seconds so the spices bloom without burning.
6. Adding Base: Add the prepared Aloo to the masala. Sauté on medium-high heat for 4-5 minutes to coat everything well and seal in the flavors.
7. Simmering: Pour in 1 to 1.5 cups of warm water (adjust for desired gravy consistency). Bring to a boil, then reduce heat to low, cover with a lid, and simmer. Cook until the Aloo is completely tender (15 mins for veg/paneer, 30-45 mins for meat).
8. Final Garnish: Crush 1 tsp of Kasuri Methi (dried fenugreek leaves) between your palms and sprinkle it over the curry along with 1/2 tsp of garam masala. Garnish with freshly chopped cilantro and serve hot.",,True,2026-08-08T05:39:03.811860+00:00,Main Course
